,id,fecha_evento,planeado,lugar,intrusion,evento_y
69,529,2021-09-16,1,SA,1,sistema desarmado x usuario
70,531,2021-08-28,1,AS,0,sistema desarmado x usuario
71,539,2021-08-17,1,AS,1,sistema desarmado x usuario
72,623,2021-12-05,1,AF,1,sistema desarmado x usuario
73,652,2021-11-27,1,AF,1,sistema desarmado x usuario
74,653,2021-10-08,1,OC,0,sistema desarmado x usuario
75,677,2021-11-14,0,AF,1,sistema desarmado x usuario
76,704,2021-11-02,1,AS,0,sistema desarmado x usuario
77,716,2021-07-20,1,EU,1,sistema desarmado x usuario
78,730,2021-09-01,1,OC,0,sistema desarmado x usuario
79,743,2021-11-09,1,AF,1,sistema desarmado x usuario
80,759,2021-10-19,1,AS,0,sistema desarmado x usuario
81,786,2021-12-12,1,OC,1,sistema desarmado x usuario
82,789,2021-08-19,1,EU,0,sistema desarmado x usuario
83,35,2021-12-07,0,AS,0,sistema desarmado x usuario
84,87,2021-07-31,1,AS,1,sistema desarmado x usuario
85,89,2021-10-31,1,OC,1,sistema desarmado x usuario
86,131,2021-11-21,0,AS,0,sistema desarmado x usuario
87,136,2021-09-12,1,AS,1,sistema desarmado x usuario
88,245,2021-12-26,1,EU,0,sistema desarmado x usuario
89,284,2021-08-30,1,AF,1,sistema desarmado x usuario
90,297,2021-11-14,1,OC,0,sistema desarmado x usuario
91,323,2021-08-14,0,AS,0,sistema desarmado x usuario
92,377,2021-09-28,1,OC,0,sistema desarmado x usuario
93,407,2021-12-12,0,AF,0,sistema desarmado x usuario
94,410,2021-09-21,1,AS,1,sistema desarmado x usuario
95,428,2021-09-29,1,AF,0,sistema desarmado x usuario
96,438,2021-12-10,1,OC,0,sistema desarmado x usuario
97,461,2021-09-19,0,AS,1,sistema desarmado x usuario
98,485,2021-09-14,0,AF,1,sistema desarmado x usuario
99,510,2021-07-24,1,AF,0,sistema desarmado x usuario
100,526,2021-07-30,0,AS,1,sistema desarmado x usuario
101,580,2021-12-12,0,AS,0,sistema desarmado x usuario
102,644,2021-09-10,1,EU,1,sistema desarmado x usuario
103,663,2021-10-31,1,OC,1,sistema desarmado x usuario
104,674,2021-10-03,0,OC,1,sistema desarmado x usuario
105,725,2021-08-01,1,OC,0,sistema desarmado x usuario
106,735,2021-07-02,1,AS,1,sistema desarmado x usuario
107,774,2021-08-29,0,SA,0,sistema desarmado x usuario
108,861,2021-09-10,0,AS,1,sistema desarmado x usuario
109,884,2021-07-09,1,OC,1,sistema desarmado x usuario
110,926,2021-10-18,0,SA,1,sistema desarmado x usuario
111,941,2021-12-04,0,OC,0,sistema desarmado x usuario
112,943,2021-12-26,0,AF,1,sistema desarmado x usuario
113,944,2021-09-20,0,SA,0,sistema desarmado x usuario
114,948,2021-07-29,0,AF,1,sistema desarmado x usuario
115,951,2021-07-16,0,OC,1,sistema desarmado x usuario
116,959,2021-07-09,0,AS,1,sistema desarmado x usuario
117,14,2021-07-07,0,AF,1,sistema desarmado x usuario
118,105,2021-07-16,0,OC,0,sistema desarmado x usuario
119,116,2021-10-12,0,AS,0,sistema desarmado x usuario
120,187,2021-07-17,0,OC,1,sistema desarmado x usuario
121,189,2021-08-14,0,SA,1,sistema desarmado x usuario
122,236,2021-11-12,0,OC,1,sistema desarmado x usuario
123,296,2021-07-19,1,AF,0,sistema desarmado x usuario
124,355,2021-12-18,0,AS,0,sistema desarmado x usuario
125,357,2021-08-01,0,EU,0,sistema desarmado x usuario
126,391,2021-07-18,1,OC,0,sistema desarmado x usuario
127,395,2021-08-18,1,OC,1,sistema desarmado x usuario
128,479,2021-09-03,1,AS,0,sistema desarmado x usuario
129,553,2021-07-11,1,OC,0,sistema desarmado x usuario
130,567,2021-08-18,1,EU,0,sistema desarmado x usuario
131,574,2021-11-19,0,EU,0,sistema desarmado x usuario
132,584,2021-08-23,0,OC,0,sistema desarmado x usuario
133,631,2021-08-03,1,AF,1,sistema desarmado x usuario
134,756,2021-12-11,0,AF,0,sistema desarmado x usuario
135,769,2021-09-21,0,EU,0,sistema desarmado x usuario
136,777,2021-07-16,0,AS,1,sistema desarmado x usuario
137,803,2021-10-21,0,AS,0,sistema desarmado x usuario
138,815,2021-11-08,0,OC,1,sistema desarmado x usuario
139,870,2021-07-07,0,OC,1,sistema desarmado x usuario
140,901,2021-08-20,1,AF,0,sistema desarmado x usuario
141,936,2021-09-01,1,SA,1,sistema desarmado x usuario
142,985,2021-07-10,1,SA,0,sistema desarmado x usuario
143,75,2021-07-07,1,SA,0,sistema desarmado x usuario
144,100,2021-10-16,0,AF,1,sistema desarmado x usuario
145,199,2021-08-26,1,AS,1,sistema desarmado x usuario
146,213,2021-08-18,0,AF,0,sistema desarmado x usuario
147,249,2021-12-13,1,AF,1,sistema desarmado x usuario
148,261,2021-11-12,0,AS,1,sistema desarmado x usuario
149,287,2021-07-11,1,AS,1,sistema desarmado x usuario
150,292,2021-09-25,0,AS,1,sistema desarmado x usuario
151,311,2021-10-23,1,OC,1,sistema desarmado x usuario
152,366,2021-10-20,0,AF,0,sistema desarmado x usuario
153,430,2021-11-04,0,AF,0,sistema desarmado x usuario
154,503,2021-09-13,0,AS,0,sistema desarmado x usuario
155,517,2021-07-30,0,AF,0,sistema desarmado x usuario
156,523,2021-12-03,1,AS,1,sistema desarmado x usuario
157,555,2021-10-15,1,AS,0,sistema desarmado x usuario
158,625,2021-12-21,0,AS,1,sistema desarmado x usuario
159,737,2021-07-30,1,OC,1,sistema desarmado x usuario
160,777,2021-07-19,1,OC,1,sistema desarmado x usuario
161,779,2021-10-06,0,EU,1,sistema desarmado x usuario
162,830,2021-12-08,0,OC,0,sistema desarmado x usuario
163,938,2021-11-29,1,AS,0,sistema desarmado x usuario
164,948,2021-08-10,1,EU,0,sistema desarmado x usuario
165,988,2021-08-19,1,EU,1,sistema desarmado x usuario
166,998,2021-07-05,0,EU,1,sistema desarmado x usuario
167,3,2021-12-24,0,SA,0,armado sistema fallido
168,107,2021-10-07,0,EU,1,armado sistema fallido
169,174,2021-07-04,0,OC,1,armado sistema fallido
170,186,2021-08-19,0,AS,0,armado sistema fallido
171,247,2021-09-20,1,SA,1,armado sistema fallido
172,287,2021-09-21,1,OC,1,armado sistema fallido
173,410,2021-10-02,0,SA,1,armado sistema fallido
174,427,2021-11-07,0,AF,0,armado sistema fallido
175,479,2021-10-06,0,SA,1,armado sistema fallido
176,495,2021-10-13,0,OC,0,armado sistema fallido
177,534,2021-12-12,1,EU,0,armado sistema fallido
178,555,2021-10-09,0,AF,1,armado sistema fallido
179,585,2021-09-02,0,EU,0,armado sistema fallido
180,624,2021-12-06,0,AS,1,armado sistema fallido
181,661,2021-09-03,0,AS,0,armado sistema fallido
182,692,2021-12-13,0,OC,0,armado sistema fallido
183,825,2021-07-22,0,AF,1,armado sistema fallido
184,850,2021-09-16,0,SA,1,armado sistema fallido
185,942,2021-07-15,0,AS,1,armado sistema fallido
186,947,2021-08-28,0,AS,1,armado sistema fallido
187,991,2021-11-08,0,AS,0,armado sistema fallido
188,22,2021-10-04,1,SA,1,armado sistema fallido
189,46,2021-10-05,0,EU,0,armado sistema fallido
190,102,2021-12-30,0,OC,1,armado sistema fallido
191,132,2021-09-05,0,SA,1,armado sistema fallido
192,161,2021-08-18,1,AS,0,armado sistema fallido
193,183,2021-08-05,1,AF,1,armado sistema fallido
194,195,2021-09-26,1,AS,1,armado sistema fallido
195,208,2021-12-15,1,OC,1,armado sistema fallido
196,212,2021-07-28,0,AS,0,armado sistema fallido
197,213,2021-08-06,0,EU,1,armado sistema fallido
198,216,2021-09-08,1,OC,1,armado sistema fallido
199,480,2021-08-20,0,EU,0,armado sistema fallido
200,517,2021-12-23,0,AS,0,armado sistema fallido
201,572,2021-12-10,0,EU,0,armado sistema fallido
202,582,2021-09-04,1,AS,1,armado sistema fallido
203,847,2021-12-11,1,OC,1,armado sistema fallido
204,885,2021-11-17,0,AS,1,armado sistema fallido
205,905,2021-07-27,0,AS,1,armado sistema fallido
206,915,2021-08-25,1,OC,1,armado sistema fallido
207,918,2021-10-13,0,OC,1,armado sistema fallido
208,939,2021-11-03,0,SA,1,armado sistema fallido
209,954,2021-12-03,1,AS,0,armado sistema fallido
210,956,2021-10-29,1,SA,1,armado sistema fallido
211,999,2021-07-07,1,SA,1,armado sistema fallido
212,22,2021-10-04,1,SA,1,armado sistema fallido
213,46,2021-10-05,0,EU,0,armado sistema fallido
214,102,2021-12-30,0,OC,1,armado sistema fallido
215,132,2021-09-05,0,SA,1,armado sistema fallido
216,161,2021-08-18,1,AS,0,armado sistema fallido
217,183,2021-08-05,1,AF,1,armado sistema fallido
218,195,2021-09-26,1,AS,1,armado sistema fallido
219,208,2021-12-15,1,OC,1,armado sistema fallido
220,212,2021-07-28,0,AS,0,armado sistema fallido
221,213,2021-08-06,0,EU,1,armado sistema fallido
222,216,2021-09-08,1,OC,1,armado sistema fallido
223,480,2021-08-20,0,EU,0,armado sistema fallido
224,517,2021-12-23,0,AS,0,armado sistema fallido
225,572,2021-12-10,0,EU,0,armado sistema fallido
226,582,2021-09-04,1,AS,1,armado sistema fallido
227,847,2021-12-11,1,OC,1,armado sistema fallido
228,885,2021-11-17,0,AS,1,armado sistema fallido
229,905,2021-07-27,0,AS,1,armado sistema fallido
230,915,2021-08-25,1,OC,1,armado sistema fallido
231,918,2021-10-13,0,OC,1,armado sistema fallido
232,939,2021-11-03,0,SA,1,armado sistema fallido
233,954,2021-12-03,1,AS,0,armado sistema fallido
234,956,2021-10-29,1,SA,1,armado sistema fallido
235,999,2021-07-07,1,SA,1,armado sistema fallido
236,30,2021-11-09,1,SA,0,armado sistema fallido
237,72,2021-08-13,0,AS,0,armado sistema fallido
238,130,2021-10-11,1,OC,1,armado sistema fallido
239,146,2021-09-20,0,AS,1,armado sistema fallido
240,191,2021-07-20,0,AF,1,armado sistema fallido
241,283,2021-07-06,1,SA,1,armado sistema fallido
242,326,2021-10-21,0,AF,0,armado sistema fallido
243,360,2021-12-05,0,EU,1,armado sistema fallido
244,365,2021-09-13,0,AF,1,armado sistema fallido
245,398,2021-07-23,1,AF,1,armado sistema fallido
246,413,2021-11-20,0,AF,1,armado sistema fallido
247,418,2021-11-21,0,EU,1,armado sistema fallido
248,523,2021-09-03,1,EU,1,armado sistema fallido
249,541,2021-12-25,0,EU,0,armado sistema fallido
250,548,2021-11-01,0,AF,1,armado sistema fallido
251,566,2021-07-11,0,EU,1,armado sistema fallido
252,573,2021-10-29,0,EU,1,armado sistema fallido
253,614,2021-12-20,1,OC,1,armado sistema fallido
254,649,2021-10-30,1,AF,0,armado sistema fallido
255,660,2021-12-30,1,AS,0,armado sistema fallido
256,678,2021-10-04,1,SA,0,armado sistema fallido
257,713,2021-11-20,1,AF,1,armado sistema fallido
258,749,2021-08-03,0,AS,1,armado sistema fallido
259,754,2021-12-07,1,OC,0,armado sistema fallido
260,786,2021-10-12,0,AF,1,armado sistema fallido
261,867,2021-12-08,0,AF,0,armado sistema fallido
262,902,2021-11-06,1,AS,0,armado sistema fallido
263,24,2021-09-22,1,AF,1,armado sistema fallido
264,55,2021-12-07,1,SA,0,armado sistema fallido
265,67,2021-08-04,0,EU,0,armado sistema fallido
266,73,2021-07-28,1,EU,1,armado sistema fallido
267,98,2021-08-05,1,OC,1,armado sistema fallido
268,186,2021-07-26,1,OC,1,armado sistema fallido
269,264,2021-11-19,1,SA,1,armado sistema fallido
270,363,2021-11-28,0,SA,1,armado sistema fallido
271,386,2021-08-24,0,AF,0,armado sistema fallido
272,439,2021-08-24,0,OC,1,armado sistema fallido
273,444,2021-12-25,0,AS,1,armado sistema fallido
274,453,2021-10-15,0,OC,0,armado sistema fallido
275,482,2021-07-02,1,SA,0,armado sistema fallido
276,502,2021-09-01,0,OC,1,armado sistema fallido
277,609,2021-12-28,0,EU,0,armado sistema fallido
278,662,2021-08-31,0,SA,1,armado sistema fallido
279,679,2021-10-08,1,SA,1,armado sistema fallido
280,704,2021-11-06,1,OC,0,armado sistema fallido
281,826,2021-08-17,0,AS,1,armado sistema fallido
282,857,2021-07-18,1,AS,1,armado sistema fallido
283,865,2021-11-17,1,OC,0,armado sistema fallido
284,888,2021-07-29,1,AS,1,armado sistema fallido
285,980,2021-12-18,0,AS,1,armado sistema fallido
286,127,2021-10-18,0,AS,1,armado sistema fallido
287,167,2021-12-19,1,SA,1,armado sistema fallido
288,177,2021-08-06,0,EU,0,armado sistema fallido
289,235,2021-09-09,0,AS,0,armado sistema fallido
290,273,2021-09-15,0,AF,1,armado sistema fallido
291,279,2021-12-06,0,SA,1,armado sistema fallido
292,329,2021-12-11,1,SA,1,armado sistema fallido
293,354,2021-10-24,1,OC,1,armado sistema fallido
294,381,2021-08-08,0,AF,1,armado sistema fallido
295,391,2021-10-16,0,OC,1,armado sistema fallido
296,524,2021-10-22,1,AS,1,armado sistema fallido
297,621,2021-08-29,1,AF,0,armado sistema fallido
298,644,2021-10-30,1,OC,0,armado sistema fallido
299,708,2021-09-23,0,AS,0,armado sistema fallido
300,805,2021-12-23,0,SA,1,armado sistema fallido
301,814,2021-10-27,1,AS,0,armado sistema fallido
302,908,2021-10-03,1,SA,0,armado sistema fallido
303,950,2021-09-06,1,AS,1,armado sistema fallido
304,959,2021-08-24,0,OC,0,armado sistema fallido
305,1000,2021-11-16,0,OC,1,armado sistema fallido
306,4,2021-12-23,1,EU,0,disminucion presion
307,5,2021-09-09,0,OC,1,disminucion presion
308,42,2021-09-14,0,AS,0,disminucion presion
309,129,2021-07-24,0,AF,0,disminucion presion
310,156,2021-12-08,0,OC,1,disminucion presion
311,161,2021-08-12,1,EU,0,disminucion presion
312,170,2021-12-19,0,OC,0,disminucion presion
313,209,2021-08-07,1,EU,1,disminucion presion
314,328,2021-09-05,0,OC,0,disminucion presion
315,366,2021-11-16,1,OC,1,disminucion presion
316,440,2021-12-23,1,SA,0,disminucion presion
317,485,2021-09-22,1,AS,1,disminucion presion
318,508,2021-09-12,1,EU,0,disminucion presion
319,516,2021-08-14,0,AS,0,disminucion presion
320,565,2021-09-25,1,EU,1,disminucion presion
321,569,2021-08-27,1,AF,1,disminucion presion
322,578,2021-11-05,1,EU,1,disminucion presion
323,594,2021-07-21,1,EU,0,disminucion presion
324,607,2021-08-31,0,SA,0,disminucion presion
325,608,2021-07-02,0,OC,0,disminucion presion
326,619,2021-08-31,0,AF,0,disminucion presion
327,676,2021-10-18,1,AS,1,disminucion presion
328,695,2021-08-02,1,SA,0,disminucion presion
329,936,2021-11-07,0,AS,0,disminucion presion
330,7,2021-11-05,0,SA,0,disminucion presion
331,97,2021-08-04,0,EU,1,disminucion presion
332,101,2021-11-20,1,OC,0,disminucion presion
333,175,2021-10-20,0,OC,1,disminucion presion
334,181,2021-11-21,1,EU,0,disminucion presion
335,304,2021-11-25,0,EU,1,disminucion presion
336,345,2021-07-08,0,SA,1,disminucion presion
337,370,2021-12-17,1,EU,0,disminucion presion
338,393,2021-08-24,1,AF,1,disminucion presion
339,405,2021-07-20,0,OC,1,disminucion presion
340,498,2021-09-18,0,AS,0,disminucion presion
341,519,2021-12-07,0,SA,0,disminucion presion
342,576,2021-10-02,1,EU,0,disminucion presion
343,615,2021-12-12,1,OC,1,disminucion presion
344,618,2021-08-17,1,EU,1,disminucion presion
345,680,2021-10-26,0,AS,0,disminucion presion
346,692,2021-12-08,0,AS,1,disminucion presion
347,750,2021-12-26,1,AS,1,disminucion presion
348,793,2021-07-04,1,OC,0,disminucion presion
349,816,2021-11-20,1,EU,1,disminucion presion
350,817,2021-09-04,0,AF,1,disminucion presion
351,865,2021-12-13,0,EU,1,disminucion presion
352,882,2021-10-31,0,EU,1,disminucion presion
353,883,2021-11-28,1,AS,1,disminucion presion
354,917,2021-10-03,0,AS,1,disminucion presion
355,957,2021-10-27,1,AF,0,disminucion presion
356,985,2021-12-23,0,AF,0,disminucion presion
357,7,2021-11-05,0,SA,0,disminucion presion
358,97,2021-08-04,0,EU,1,disminucion presion
359,101,2021-11-20,1,OC,0,disminucion presion
360,175,2021-10-20,0,OC,1,disminucion presion
361,181,2021-11-21,1,EU,0,disminucion presion
362,304,2021-11-25,0,EU,1,disminucion presion
363,345,2021-07-08,0,SA,1,disminucion presion
364,370,2021-12-17,1,EU,0,disminucion presion
365,393,2021-08-24,1,AF,1,disminucion presion
366,405,2021-07-20,0,OC,1,disminucion presion
367,498,2021-09-18,0,AS,0,disminucion presion
368,519,2021-12-07,0,SA,0,disminucion presion
369,576,2021-10-02,1,EU,0,disminucion presion
370,615,2021-12-12,1,OC,1,disminucion presion
371,618,2021-08-17,1,EU,1,disminucion presion
372,680,2021-10-26,0,AS,0,disminucion presion
373,692,2021-12-08,0,AS,1,disminucion presion
374,750,2021-12-26,1,AS,1,disminucion presion
375,793,2021-07-04,1,OC,0,disminucion presion
376,816,2021-11-20,1,EU,1,disminucion presion
377,817,2021-09-04,0,AF,1,disminucion presion
378,865,2021-12-13,0,EU,1,disminucion presion
379,882,2021-10-31,0,EU,1,disminucion presion
380,883,2021-11-28,1,AS,1,disminucion presion
381,917,2021-10-03,0,AS,1,disminucion presion
382,957,2021-10-27,1,AF,0,disminucion presion
383,985,2021-12-23,0,AF,0,disminucion presion
384,2,2021-12-03,1,OC,1,disminucion presion
385,14,2021-12-17,1,SA,1,disminucion presion
386,63,2021-11-04,0,AS,1,disminucion presion
387,125,2021-10-13,1,AS,1,disminucion presion
388,164,2021-11-20,0,OC,1,disminucion presion
389,296,2021-07-14,0,OC,0,disminucion presion
390,303,2021-09-17,0,EU,1,disminucion presion
391,311,2021-08-03,1,AS,0,disminucion presion
392,332,2021-10-03,0,EU,0,disminucion presion
393,445,2021-11-30,1,AF,0,disminucion presion
394,527,2021-10-08,1,AS,0,disminucion presion
395,610,2021-09-01,1,AS,0,disminucion presion
396,616,2021-09-29,0,EU,1,disminucion presion
397,629,2021-09-27,1,EU,0,disminucion presion
398,687,2021-09-29,1,AS,0,disminucion presion
399,721,2021-07-19,0,AF,1,disminucion presion
400,728,2021-11-12,1,OC,0,disminucion presion
401,737,2021-10-30,1,OC,1,disminucion presion
402,765,2021-08-12,1,AS,1,disminucion presion
403,808,2021-12-16,1,SA,1,disminucion presion
404,821,2021-12-19,0,AF,1,disminucion presion
405,828,2021-07-14,0,OC,0,disminucion presion
406,835,2021-07-29,0,AF,1,disminucion presion
407,914,2021-08-01,1,OC,0,disminucion presion
408,925,2021-10-02,1,AS,0,disminucion presion
409,967,2021-08-08,1,AS,1,disminucion presion
410,992,2021-10-29,1,AS,1,disminucion presion
411,57,2021-08-25,0,EU,0,disminucion presion
412,121,2021-12-21,1,AS,1,disminucion presion
413,214,2021-12-24,0,AS,1,disminucion presion
414,218,2021-12-16,1,EU,1,disminucion presion
415,263,2021-08-10,0,AS,1,disminucion presion
416,344,2021-11-19,1,AS,1,disminucion presion
417,351,2021-08-23,0,AF,0,disminucion presion
418,443,2021-12-09,1,SA,1,disminucion presion
419,492,2021-10-25,0,AF,0,disminucion presion
420,506,2021-07-06,0,AS,0,disminucion presion
421,514,2021-08-23,1,SA,1,disminucion presion
422,526,2021-08-31,1,AS,1,disminucion presion
423,531,2021-09-16,1,AF,0,disminucion presion
424,562,2021-09-28,1,SA,0,disminucion presion
425,583,2021-12-05,1,AS,0,disminucion presion
426,701,2021-09-15,0,SA,0,disminucion presion
427,715,2021-09-18,0,AF,0,disminucion presion
428,732,2021-09-25,1,AF,0,disminucion presion
429,735,2021-12-06,1,AS,1,disminucion presion
430,748,2021-07-12,0,EU,1,disminucion presion
431,765,2021-10-13,1,SA,1,disminucion presion
432,775,2021-12-04,0,EU,0,disminucion presion
433,781,2021-08-26,0,SA,1,disminucion presion
434,790,2021-07-16,1,AS,0,disminucion presion
435,792,2021-12-25,1,SA,1,disminucion presion
436,817,2021-09-29,0,SA,1,disminucion presion
437,823,2021-09-21,0,SA,1,disminucion presion
438,864,2021-07-18,0,EU,1,disminucion presion
439,883,2021-11-15,0,AS,0,disminucion presion
440,907,2021-07-29,0,EU,1,disminucion presion
441,931,2021-09-29,1,OC,1,disminucion presion
442,938,2021-10-23,0,SA,1,disminucion presion
443,962,2021-11-24,1,AS,0,disminucion presion
444,969,2021-09-29,0,AS,0,disminucion presion
445,18,2021-08-16,1,EU,0,disminucion presion
446,59,2021-10-06,1,OC,1,disminucion presion
447,107,2021-07-14,0,OC,0,disminucion presion
448,123,2021-07-18,1,SA,0,disminucion presion
449,146,2021-10-23,1,OC,1,disminucion presion
450,189,2021-08-23,0,AS,0,disminucion presion
451,204,2021-10-03,0,AF,0,disminucion presion
452,245,2021-08-10,1,OC,0,disminucion presion
453,255,2021-11-18,1,OC,0,disminucion presion
454,271,2021-10-05,0,AS,1,disminucion presion
455,272,2021-11-01,1,SA,1,disminucion presion
456,298,2021-07-01,1,SA,0,disminucion presion
457,306,2021-12-23,1,AF,1,disminucion presion
458,404,2021-08-23,1,AF,1,disminucion presion
459,412,2021-08-13,0,EU,1,disminucion presion
460,455,2021-12-22,0,OC,1,disminucion presion
461,571,2021-07-22,0,SA,1,disminucion presion
462,586,2021-10-23,1,AS,1,disminucion presion
463,587,2021-10-01,0,OC,1,disminucion presion
464,678,2021-10-30,0,AF,0,disminucion presion
465,681,2021-07-21,0,SA,1,disminucion presion
466,687,2021-10-30,0,AF,1,disminucion presion
467,702,2021-11-02,0,AS,1,disminucion presion
468,820,2021-12-08,0,AS,1,disminucion presion
469,834,2021-09-07,1,OC,0,disminucion presion
470,856,2021-09-28,1,EU,1,disminucion presion
471,867,2021-12-10,0,EU,1,disminucion presion
472,7,2021-12-29,1,AS,1,camara desconectada
473,20,2021-10-14,0,SA,1,camara desconectada
474,51,2021-07-28,0,SA,1,camara desconectada
475,97,2021-09-04,1,EU,0,camara desconectada
476,126,2021-08-25,1,AS,0,camara desconectada
477,145,2021-09-25,1,EU,0,camara desconectada
478,182,2021-12-21,1,AS,1,camara desconectada
479,215,2021-09-25,1,AS,0,camara desconectada
480,250,2021-09-21,1,EU,0,camara desconectada
481,251,2021-09-02,0,EU,1,camara desconectada
482,254,2021-12-18,1,AF,0,camara desconectada
483,277,2021-09-23,1,OC,1,camara desconectada
484,291,2021-07-13,0,SA,1,camara desconectada
485,304,2021-12-13,0,AF,1,camara desconectada
486,310,2021-09-01,0,SA,1,camara desconectada
487,362,2021-11-01,0,OC,0,camara desconectada
488,393,2021-10-08,0,OC,0,camara desconectada
489,449,2021-08-15,0,AS,0,camara desconectada
490,512,2021-10-14,0,SA,0,camara desconectada
491,537,2021-12-16,1,OC,0,camara desconectada
492,551,2021-12-14,0,AS,1,camara desconectada
493,579,2021-07-19,0,SA,1,camara desconectada
494,593,2021-10-18,1,SA,1,camara desconectada
495,606,2021-12-24,0,OC,0,camara desconectada
496,622,2021-12-20,1,OC,1,camara desconectada
497,635,2021-08-21,1,AS,1,camara desconectada
498,637,2021-11-10,1,EU,0,camara desconectada
499,920,2021-12-21,0,AS,0,camara desconectada
500,934,2021-11-26,1,AS,1,camara desconectada
501,949,2021-09-30,1,SA,0,camara desconectada
502,30,2021-07-02,1,AS,0,camara desconectada
503,32,2021-08-03,0,AS,1,camara desconectada
504,59,2021-10-07,0,EU,1,camara desconectada
505,77,2021-10-21,0,SA,0,camara desconectada
506,134,2021-12-29,1,AS,0,camara desconectada
507,160,2021-09-05,1,AS,0,camara desconectada
508,174,2021-08-07,0,EU,1,camara desconectada
509,309,2021-08-22,1,AS,0,camara desconectada
510,397,2021-09-22,1,SA,1,camara desconectada
511,419,2021-12-29,1,AS,1,camara desconectada
512,452,2021-12-21,0,AF,1,camara desconectada
